Feature,Importance
Pixel_584,0.00023193656
Pixel_525,0.00023006294
Pixel_639,0.00023001488
Pixel_492,0.00022856482
Pixel_233,0.00022832766
Pixel_99,0.00022748117
Pixel_549,0.00022560345
Pixel_470,0.00022033283
Pixel_721,0.00021742197
Pixel_439,0.0002170494
Pixel_718,0.0002169898
Pixel_493,0.00021684101
Pixel_717,0.0002126023
Pixel_467,0.0002125798
Pixel_568,0.00021168483
Pixel_127,0.00021166666
Pixel_282,0.00020554224
Pixel_474,0.00020389033
Pixel_694,0.00020113071
Pixel_642,0.00020032993
Pixel_706,0.00019225753
Pixel_284,0.00019153421
Pixel_495,0.00018459129
Pixel_574,0.00018351458
Pixel_534,0.00018350035
Pixel_497,0.0001830861
Pixel_442,0.00018059627
Pixel_144,0.00017880292
Pixel_692,0.00017751312
Pixel_586,0.0001773463
Pixel_121,0.00017710641
Pixel_194,0.00017556323
Pixel_521,0.00017475693
Pixel_250,0.00017400524
Pixel_614,0.00017313636
Pixel_94,0.00017294765
Pixel_334,0.0001712049
Pixel_129,0.00016711751
Pixel_278,0.00016657198
Pixel_93,0.00015632428
Pixel_609,0.00015483263
Pixel_205,0.00015295148
Pixel_160,0.00014544175
Pixel_704,0.00014448976
Pixel_135,0.00014348509
Pixel_178,0.00014056651
Pixel_450,0.00013773245
Pixel_177,0.0001302188
Pixel_157,0.0001239149
Pixel_219,0.000118727534
Pixel_92,0.00011678112
Pixel_228,0.00011677139
Pixel_611,0.00011207332
Pixel_162,0.00011111114
Pixel_478,9.421257e-05
Pixel_89,9.3266164e-05
Pixel_720,9.148807e-05
Pixel_117,9.0576854e-05
Pixel_138,8.597555e-05
Pixel_712,8.222324e-05
Pixel_137,7.758705e-05
Pixel_145,7.295197e-05
Pixel_736,7.116326e-05
Pixel_200,6.347399e-05
Pixel_98,6.268512e-05
Pixel_166,6.08978e-05
Pixel_722,6.084611e-05
Pixel_447,5.8396e-05
Pixel_90,5.3497206e-05
Pixel_672,0.0
Pixel_670,0.0
Pixel_674,0.0
Pixel_673,0.0
Pixel_703,0.0
Pixel_644,0.0
Pixel_48,0.0
Pixel_646,0.0
Pixel_645,0.0
Pixel_63,0.0
Pixel_62,0.0
Pixel_61,0.0
Pixel_60,0.0
Pixel_669,0.0
Pixel_58,0.0
Pixel_57,0.0
Pixel_56,0.0
Pixel_55,0.0
Pixel_54,0.0
Pixel_281,0.0
Pixel_280,0.0
Pixel_279,0.0
Pixel_59,0.0
Pixel_643,0.0
Pixel_47,0.0
Pixel_46,0.0
Pixel_45,0.0
Pixel_44,0.0
Pixel_43,0.0
Pixel_42,0.0
Pixel_41,0.0
Pixel_49,0.0
Pixel_39,0.0
Pixel_38,0.0
Pixel_37,0.0
Pixel_254,0.0
Pixel_53,0.0
Pixel_52,0.0
Pixel_51,0.0
Pixel_50,0.0
Pixel_40,0.0
Pixel_746,0.0
Pixel_747,0.0
Pixel_748,0.0
Pixel_749,0.0
Pixel_766,0.0
Pixel_751,0.0
Pixel_16,0.0
Pixel_773,0.0
Pixel_774,0.0
Pixel_775,0.0
Pixel_776,0.0
Pixel_169,0.0
Pixel_21,0.0
Pixel_22,0.0
Pixel_23,0.0
Pixel_698,0.0
Pixel_754,0.0
Pixel_753,0.0
Pixel_752,0.0
Pixel_783,0.0
Pixel_782,0.0
Pixel_781,0.0
Pixel_780,0.0
Pixel_24,0.0
Pixel_725,0.0
Pixel_31,0.0
Pixel_30,0.0
Pixel_768,0.0
Pixel_767,0.0
Pixel_27,0.0
Pixel_26,0.0
Pixel_25,0.0
Pixel_779,0.0
Pixel_2,0.0
Pixel_1,0.0
Pixel_0,0.0
Pixel_702,0.0
Pixel_701,0.0
Pixel_700,0.0
Pixel_699,0.0
Pixel_745,0.0
Pixel_697,0.0
Pixel_696,0.0
Pixel_36,0.0
Pixel_35,0.0
Pixel_34,0.0
Pixel_33,0.0
Pixel_32,0.0
Pixel_671,0.0
Pixel_67,0.0
Pixel_743,0.0
Pixel_742,0.0
Pixel_724,0.0
Pixel_723,0.0
Pixel_15,0.0
Pixel_14,0.0
Pixel_13,0.0
Pixel_3,0.0
Pixel_11,0.0
Pixel_10,0.0
Pixel_9,0.0
Pixel_8,0.0
Pixel_7,0.0
Pixel_6,0.0
Pixel_5,0.0
Pixel_4,0.0
Pixel_12,0.0
Pixel_143,0.0
Pixel_475,0.0
Pixel_476,0.0
Pixel_477,0.0
Pixel_448,0.0
Pixel_449,0.0
Pixel_391,0.0
Pixel_392,0.0
Pixel_393,0.0
Pixel_170,0.0
Pixel_171,0.0
Pixel_419,0.0
Pixel_420,0.0
Pixel_421,0.0
Pixel_139,0.0
Pixel_589,0.0
Pixel_141,0.0
Pixel_504,0.0
Pixel_505,0.0
Pixel_506,0.0
Pixel_112,0.0
Pixel_113,0.0
Pixel_114,0.0
Pixel_115,0.0
Pixel_116,0.0
Pixel_364,0.0
Pixel_365,0.0
Pixel_195,0.0
Pixel_196,0.0
Pixel_197,0.0
Pixel_198,0.0
Pixel_140,0.0
Pixel_29,0.0
Pixel_28,0.0
Pixel_750,0.0
Pixel_765,0.0
Pixel_764,0.0
Pixel_763,0.0
Pixel_762,0.0
Pixel_761,0.0
Pixel_760,0.0
Pixel_759,0.0
Pixel_758,0.0
Pixel_757,0.0
Pixel_17,0.0
Pixel_18,0.0
Pixel_19,0.0
Pixel_142,0.0
Pixel_726,0.0
Pixel_755,0.0
Pixel_728,0.0
Pixel_729,0.0
Pixel_730,0.0
Pixel_731,0.0
Pixel_732,0.0
Pixel_733,0.0
Pixel_734,0.0
Pixel_756,0.0
Pixel_737,0.0
Pixel_738,0.0
Pixel_739,0.0
Pixel_777,0.0
Pixel_778,0.0
Pixel_20,0.0
Pixel_78,0.0
Pixel_79,0.0
Pixel_587,0.0
Pixel_588,0.0
Pixel_727,0.0
Pixel_590,0.0
Pixel_560,0.0
Pixel_561,0.0
Pixel_562,0.0
Pixel_307,0.0
Pixel_308,0.0
Pixel_309,0.0
Pixel_251,0.0
Pixel_252,0.0
